"Data generated on Friday, December 23, 2022 at 12:55:41 PM EST"
Area/Partners of Origin,,,,,January - December
And General  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.125","0707006015","GR CUCMBR ORG 7","0","0","0","0","0","0","171","","26","MX","0707006015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.126","0707006020","GR CUCM N ORG 7","0","0","0","0","0","0","6,504","","26","MX","0707006020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.127","0707006060","GR CUCMBR ORG 8","0","0","0","0","0","0","390","","26","MX","0707006060",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.128","0707006070","GR CUCM N ORG 8","0","0","0","0","0","0","5,390","","26","MX","0707006070",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.129","0708102000","PEAS,7/1-9/30","52","0","0","0","0","0","0","","26","MX","0708102000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.130","0709209010","ASPRS, WH, NES","2,578","912","11","0","0","0","0","","26","MX","0709209010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.131","0709604005","GH GRN PEP ORG","0","0","0","0","0","0","451","","26","MX","0709604005",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.132","0709604007","GH RED PEP ORG","0","0","0","0","0","0","6,155","","26","MX","0709604007",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.133","0709604009","GH YEL PEP ORG","0","0","0","0","0","0","1,882","","26","MX","0709604009",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.134","0709604011","GH ORNG PEP ORG","0","0","0","0","0","0","2,032","","26","MX","0709604011",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.135","0709604013","GH SWT PEP ORG","0","0","0","0","0","0","4,766","","26","MX","0709604013",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.136","0709604017","GH GRN PEP N/ORG","0","0","0","0","0","0","1,430","","26","MX","0709604017",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.137","0709604022","GH RED PEP N/ORG","0","0","0","0","0","0","2,926","","26","MX","0709604022",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.138","0709604027","GH YEL PEP N/ORG","0","0","0","0","0","0","1,194","","26","MX","0709604027",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.139","0709604032","GH ORNG PEPN/ORG","0","0","0","0","0","0","1,443","","26","MX","0709604032",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.140","0709604037","GH SWT PEP N/ORG","0","0","0","0","0","0","4,163","","26","MX","0709604037",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.141","0709604060","NGH GRN PEP ORG","0","0","0","0","0","0","109","","26","MX","0709604060",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.142","0709604063","NGH RED PEP ORG","0","0","0","0","0","0","9","","26","MX","0709604063",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.143","0709604072","NGH SWT PEP ORG","0","0","0","0","0","0","191","","26","MX","0709604072",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.144","0709604074","SWT PEP N/ORG","0","0","0","0","0","0","8","","26","MX","0709604074",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.145","0709604078","GRN PEP N/ORG","0","0","0","0","0","0","1,143","","26","MX","0709604078",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.146","0709604081","RED PEP N/ORG","0","0","0","0","0","0","2,532","","26","MX","0709604081",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.147","0709604084","YEL PEP N/ORG","0","0","0","0","0","0","1,522","","26","MX","0709604084",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.148","0709604087","ORNG PEP N/ORG","0","0","0","0","0","0","1,486","","26","MX","0709604087",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.149","0709604091","SWT PEP N/ORG","0","0","0","0","0","0","2,456","","26","MX","0709604091",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.150","0709932000","SQUASH,FRSH/CHLD","300,932","203,929","0","0","0","0","0","","26","MX","0709932000",
