"Data generated on Friday, December 23, 2022 at 1:07:23 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.15","0714202000","SW POTATO,FR/DRD","482","151","222","180","769","703","319","-55","26","MX","0714202000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.16","0703100050","ONION SETS FR/CH","436","641","1,561","1,286","740","503","182","-64","26","MX","0703100050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.17","0709400050","CELERY FR/CH","5","0","202","533","681","469","516","10","26","MX","0709400050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.18","0708200000","BEANS, FR/CH","0","0","0","165","669","295","420","43","26","MX","0708200000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.19","0709930000","PUMPKINS, FR/CH","467","658","634","669","582","561","695","24","26","MX","0709930000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.20","0706103030","ORG CARROT NESOI","0","0","198","597","468","451","56","-88","26","MX","0706103030",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.21","0702000035","ORG TOMATO OTHER","6","0","28","57","396","396","57","-86","26","MX","0702000035",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.22","0703100010","ORG ONION SET FR","446","193","267","782","313","296","58","-80","26","MX","0703100010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.23","0704100010","ORG CAULFLOWR FR","16","3","39","232","227","180","90","-50","26","MX","0704100010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.24","0704902010","ORG CABBAGE","78","0","78","220","199","174","529","203","26","MX","0704902010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.25","0704904025","ORG BROCCOLI FR","0","0","59","87","190","190","576","203","26","MX","0704904025",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.26","0708109000","PEAS FC NESOI","68","0","62","126","181","127","258","103","26","MX","0708109000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.1.27","0708900000","LEGUM VEG,FR.CH","0","0","49","169","152","100","178","78","26","MX","0708900000",
